unique_id,ds,yhat,level
SUBSEG__SSI0278606,43,617912.75,Subsegment
SUBSEG__SSI0278606,44,504972.9375,Subsegment
SUBSEG__SSI0278606,45,596357.0,Subsegment
SUBSEG__SSI0278606,46,511695.40625,Subsegment
SUBSEG__SSI0278606,47,521115.21875,Subsegment
SUBSEG__SSI0278606,48,521115.21875,Subsegment
SUBSEG__SSI0278608,43,2331636.25,Subsegment
SUBSEG__SSI0278608,44,2318119.25,Subsegment
SUBSEG__SSI0278608,45,2410207.0,Subsegment
SUBSEG__SSI0278608,46,2297778.25,Subsegment
SUBSEG__SSI0278608,47,2207942.25,Subsegment
SUBSEG__SSI0278608,48,2305799.75,Subsegment
SUBSEG__SSI0278610,43,525090.875,Subsegment
SUBSEG__SSI0278610,44,527181.875,Subsegment
SUBSEG__SSI0278610,45,789917.375,Subsegment
SUBSEG__SSI0278610,46,455558.90625,Subsegment
SUBSEG__SSI0278610,47,528126.5,Subsegment
SUBSEG__SSI0278610,48,777654.0,Subsegment
SUBSEG__SSI0278612,43,17586660.0,Subsegment
SUBSEG__SSI0278612,44,17478692.0,Subsegment
SUBSEG__SSI0278612,45,19178340.0,Subsegment
SUBSEG__SSI0278612,46,19586096.0,Subsegment
SUBSEG__SSI0278612,47,19016858.0,Subsegment
SUBSEG__SSI0278612,48,20686654.0,Subsegment
SUBSEG__SSI0278614,43,13384625.0,Subsegment
SUBSEG__SSI0278614,44,13384625.0,Subsegment
SUBSEG__SSI0278614,45,13384625.0,Subsegment
SUBSEG__SSI0278614,46,13384625.0,Subsegment
SUBSEG__SSI0278614,47,13384625.0,Subsegment
SUBSEG__SSI0278614,48,13384625.0,Subsegment
SUBSEG__SSI0278616,43,1898101.5,Subsegment
SUBSEG__SSI0278616,44,1894276.625,Subsegment
SUBSEG__SSI0278616,45,1841788.75,Subsegment
SUBSEG__SSI0278616,46,2043195.25,Subsegment
SUBSEG__SSI0278616,47,1903345.0,Subsegment
SUBSEG__SSI0278616,48,1866471.625,Subsegment
SUBSEG__SSI0278618,43,3676641.5,Subsegment
SUBSEG__SSI0278618,44,3676641.5,Subsegment
SUBSEG__SSI0278618,45,3676641.5,Subsegment
SUBSEG__SSI0278618,46,3676641.5,Subsegment
SUBSEG__SSI0278618,47,3676641.5,Subsegment
SUBSEG__SSI0278618,48,3676641.5,Subsegment
SUBSEG__SSI0278620,43,4877717.0,Subsegment
SUBSEG__SSI0278620,44,5004394.5,Subsegment
SUBSEG__SSI0278620,45,4752863.0,Subsegment
SUBSEG__SSI0278620,46,4747577.5,Subsegment
SUBSEG__SSI0278620,47,5485713.5,Subsegment
SUBSEG__SSI0278620,48,4821350.5,Subsegment
SUBSEG__SSI0278622,43,2283764.0,Subsegment
SUBSEG__SSI0278622,44,2326494.5,Subsegment
SUBSEG__SSI0278622,45,2191561.0,Subsegment
SUBSEG__SSI0278622,46,2271801.5,Subsegment
SUBSEG__SSI0278622,47,2389602.75,Subsegment
SUBSEG__SSI0278622,48,2179430.0,Subsegment
SUBSEG__SSI0278624,43,0.0,Subsegment
SUBSEG__SSI0278624,44,0.0,Subsegment
SUBSEG__SSI0278624,45,0.0,Subsegment
SUBSEG__SSI0278624,46,0.0,Subsegment
SUBSEG__SSI0278624,47,0.0,Subsegment
SUBSEG__SSI0278624,48,0.0,Subsegment
SUBSEG__SSI0278626,43,5729332.0,Subsegment
SUBSEG__SSI0278626,44,5729332.0,Subsegment
SUBSEG__SSI0278626,45,5729332.0,Subsegment
SUBSEG__SSI0278626,46,5729332.0,Subsegment
SUBSEG__SSI0278626,47,5729332.0,Subsegment
SUBSEG__SSI0278626,48,5729332.0,Subsegment
SUBSEG__SSI0278630,43,25681.29296875,Subsegment
SUBSEG__SSI0278630,44,16130.16796875,Subsegment
SUBSEG__SSI0278630,45,33761.6015625,Subsegment
SUBSEG__SSI0278630,46,33761.6015625,Subsegment
SUBSEG__SSI0278630,47,16130.16796875,Subsegment
SUBSEG__SSI0278630,48,16130.16796875,Subsegment
SUBSEG__SSI0278691,43,523.2092895507812,Subsegment
SUBSEG__SSI0278691,44,523.2092895507812,Subsegment
SUBSEG__SSI0278691,45,1513.11865234375,Subsegment
SUBSEG__SSI0278691,46,1513.11865234375,Subsegment
SUBSEG__SSI0278691,47,1513.11865234375,Subsegment
SUBSEG__SSI0278691,48,1513.11865234375,Subsegment
SUBSEG__SSI02792,43,-3.904404640197754,Subsegment
SUBSEG__SSI02792,44,-3.904404640197754,Subsegment
SUBSEG__SSI02792,45,-3.904404640197754,Subsegment
SUBSEG__SSI02792,46,-3.904404640197754,Subsegment
SUBSEG__SSI02792,47,-3.904404640197754,Subsegment
SUBSEG__SSI02792,48,-3.904404640197754,Subsegment
SUBSEG__SSI02793,43,45209.671875,Subsegment
SUBSEG__SSI02793,44,45209.671875,Subsegment
SUBSEG__SSI02793,45,44993.02734375,Subsegment
SUBSEG__SSI02793,46,42242.8046875,Subsegment
SUBSEG__SSI02793,47,42242.8046875,Subsegment
SUBSEG__SSI02793,48,39558.34765625,Subsegment
SUBSEG__SSI02799,43,-110629.390625,Subsegment
SUBSEG__SSI02799,44,-110629.390625,Subsegment
SUBSEG__SSI02799,45,-110629.390625,Subsegment
SUBSEG__SSI02799,46,-110629.390625,Subsegment
SUBSEG__SSI02799,47,-110629.390625,Subsegment
SUBSEG__SSI02799,48,-110629.390625,Subsegment
SUBSEG__SSI0378115,43,52261480.0,Subsegment
SUBSEG__SSI0378115,44,60539096.0,Subsegment
SUBSEG__SSI0378115,45,65221244.0,Subsegment
SUBSEG__SSI0378115,46,64778704.0,Subsegment
SUBSEG__SSI0378115,47,65008072.0,Subsegment
SUBSEG__SSI0378115,48,65221244.0,Subsegment
SUBSEG__SSI0378125,43,13273884.0,Subsegment
SUBSEG__SSI0378125,44,13273884.0,Subsegment
SUBSEG__SSI0378125,45,13164627.0,Subsegment
SUBSEG__SSI0378125,46,13582161.0,Subsegment
SUBSEG__SSI0378125,47,13582161.0,Subsegment
SUBSEG__SSI0378125,48,13582161.0,Subsegment
SUBSEG__SSI0378135,43,18844898.0,Subsegment
SUBSEG__SSI0378135,44,18896866.0,Subsegment
SUBSEG__SSI0378135,45,18149388.0,Subsegment
SUBSEG__SSI0378135,46,18296824.0,Subsegment
SUBSEG__SSI0378135,47,18130804.0,Subsegment
SUBSEG__SSI0378135,48,18235628.0,Subsegment
SUBSEG__SSI0378140,43,12241237.0,Subsegment
SUBSEG__SSI0378140,44,11788999.0,Subsegment
SUBSEG__SSI0378140,45,12205392.0,Subsegment
SUBSEG__SSI0378140,46,13101430.0,Subsegment
SUBSEG__SSI0378140,47,13254283.0,Subsegment
SUBSEG__SSI0378140,48,12752962.0,Subsegment
SUBSEG__SSI0378145,43,22450134.0,Subsegment
SUBSEG__SSI0378145,44,23096786.0,Subsegment
SUBSEG__SSI0378145,45,22287636.0,Subsegment
SUBSEG__SSI0378145,46,23888250.0,Subsegment
SUBSEG__SSI0378145,47,23528518.0,Subsegment
SUBSEG__SSI0378145,48,24212180.0,Subsegment
SUBSEG__SSI0378150,43,32876504.0,Subsegment
SUBSEG__SSI0378150,44,32932778.0,Subsegment
SUBSEG__SSI0378150,45,37775876.0,Subsegment
SUBSEG__SSI0378150,46,40362620.0,Subsegment
SUBSEG__SSI0378150,47,40099320.0,Subsegment
SUBSEG__SSI0378150,48,37477668.0,Subsegment
SUBSEG__SSI0378170,43,69747480.0,Subsegment
SUBSEG__SSI0378170,44,70957104.0,Subsegment
SUBSEG__SSI0378170,45,69257608.0,Subsegment
SUBSEG__SSI0378170,46,68880112.0,Subsegment
SUBSEG__SSI0378170,47,69942960.0,Subsegment
SUBSEG__SSI0378170,48,68831192.0,Subsegment
SUBSEG__SSI0378180,43,76553480.0,Subsegment
SUBSEG__SSI0378180,44,80051976.0,Subsegment
SUBSEG__SSI0378180,45,76440592.0,Subsegment
SUBSEG__SSI0378180,46,80051976.0,Subsegment
SUBSEG__SSI0378180,47,77883712.0,Subsegment
SUBSEG__SSI0378180,48,77883712.0,Subsegment
SUBSEG__SSI0378185,43,54167668.0,Subsegment
SUBSEG__SSI0378185,44,53837648.0,Subsegment
SUBSEG__SSI0378185,45,54525148.0,Subsegment
SUBSEG__SSI0378185,46,55234832.0,Subsegment
SUBSEG__SSI0378185,47,55234832.0,Subsegment
SUBSEG__SSI0378185,48,55234832.0,Subsegment
SUBSEG__SSI0378199,43,2483545.0,Subsegment
SUBSEG__SSI0378199,44,2849270.25,Subsegment
