iter	Passed	Remaining
845	28417	5172
846	28447	5138
847	28478	5104
848	28510	5070
849	28542	5036
850	28573	5002
851	28606	4969
852	28643	4936
853	28680	4903
854	28714	4869
855	28743	4835
856	28771	4800
857	28800	4766
858	28833	4732
859	28865	4699
860	28903	4666
861	28939	4633
862	28972	4599
863	29004	4565
864	29032	4531
865	29067	4497
866	29107	4465
867	29138	4431
868	29169	4397
869	29200	4363
870	29229	4329
871	29257	4294
872	29286	4260
873	29314	4226
874	29344	4192
875	29372	4157
876	29400	4123
877	29430	4089
878	29464	4056
879	29507	4023
880	29546	3990
881	29574	3956
882	29603	3922
883	29631	3888
884	29660	3854
885	29688	3819
886	29726	3786
887	29764	3754
888	29808	3721
889	29852	3689
890	29895	3657
891	29929	3623
892	29956	3589
893	29989	3555
894	30027	3522
895	30055	3488
896	30091	3455
897	30132	3422
898	30173	3389
899	30214	3357
900	30248	3323
901	30277	3289
902	30304	3255
903	30333	3221
904	30363	3187
905	30402	3154
906	30444	3121
907	30485	3088
908	30514	3054
909	30550	3021
910	30588	2988
911	30618	2954
912	30647	2920
913	30676	2886
914	30706	2852
915	30741	2819
916	30770	2785
917	30799	2751
918	30830	2717
919	30857	2683
920	30886	2649
921	30921	2615
922	30950	2582
923	30989	2548
924	31029	2515
925	31069	2482
926	31111	2449
927	31158	2417
928	31204	2384
929	31241	2351
930	31275	2317
931	31320	2285
932	31351	2251
933	31383	2217
934	31423	2184
935	31459	2151
936	31490	2117
937	31520	2083
938	31555	2049
939	31597	2016
940	31635	1983
941	31665	1949
942	31699	1916
943	31730	1882
944	31759	1848
945	31788	1814
946	31817	1780
947	31846	1746
948	31877	1713
949	31922	1680
950	31960	1646
951	31990	1612
952	32021	1579
953	32050	1545
954	32080	1511
955	32111	1477
956	32141	1444
957	32170	1410
958	32204	1376
959	32243	1343
960	32279	1309
961	32318	1276
962	32353	1243
963	32391	1209
964	32435	1176
965	32470	1142
966	32506	1109
967	32553	1076
968	32596	1042
969	32640	1009
970	32680	976
971	32723	942
972	32768	909
973	32801	875
974	32837	841
975	32873	808
976	32911	774
977	32956	741
978	33002	707
979	33044	674
980	33088	640
981	33134	607
982	33171	573
983	33218	540
984	33251	506
985	33282	472
986	33312	438
987	33342	404
988	33374	371
989	33405	337
990	33435	303
991	33465	269
992	33493	236
993	33533	202
994	33583	168
995	33619	135
996	33647	101
997	33675	67
998	33703	33
999	33735	0
