iter	MAE
886	22745367.13
887	22737798.5
888	22734310.07
889	22731775.08
890	22729636.81
891	22728361.26
892	22722900.91
893	22719726.47
894	22715182.25
895	22712785.97
896	22706615.28
897	22701614.84
898	22700545.23
899	22700115.02
900	22697751.2
901	22696129.11
902	22695217.72
903	22689875.84
904	22688507.83
905	22681448
906	22680448.31
907	22680101.76
908	22677997.81
909	22674492.99
910	22670466.87
911	22667492.37
912	22663197.37
913	22662284.79
914	22658488.94
915	22656110.82
916	22653631.07
917	22652650.6
918	22645938.29
919	22645049.77
920	22638485.11
921	22636114.4
922	22633585.39
923	22632177.74
924	22626647.11
925	22624222.75
926	22622049.47
927	22618878.84
928	22612934.67
929	22611055.95
930	22607651.88
931	22601137.07
932	22599334.9
933	22597162.71
934	22596382.52
935	22594286.29
936	22592415.54
937	22588583.61
938	22583048.66
939	22580568.65
940	22577301.63
941	22571060.56
942	22567250.88
943	22563207.52
944	22561834.96
945	22555799.61
946	22552321.07
947	22545881.15
948	22544607.12
949	22543875.83
950	22540058.1
951	22536227.81
952	22530012.84
953	22528110.37
954	22523276.36
955	22521730.3
956	22519798.62
957	22517550.28
958	22514348.39
959	22509573.82
960	22507465.78
961	22503848.96
962	22500752.85
963	22495483.37
964	22495070.24
965	22491014.68
966	22485423.16
967	22478506.33
968	22477475.1
969	22475413.71
970	22472718.18
971	22470233.49
972	22467360.81
973	22465633.05
974	22463878.58
975	22460266.57
976	22459853.77
977	22456462.22
978	22455930.65
979	22454995.5
980	22452916.75
981	22450655.82
982	22448004.21
983	22441235.3
984	22430837.19
985	22428788.02
986	22425246.3
987	22417997.6
988	22416856.69
989	22409103.75
990	22407934.28
991	22399450.59
992	22397925.29
993	22395391.64
994	22391327.73
995	22389907.22
996	22389142.78
997	22386758.62
998	22382235.62
999	22378255.99
